epoch,accuracy,loss,val_accuracy,val_loss
0,0.9543833136558533,0.13350816071033478,0.596666693687439,0.8127244710922241
1,0.9721333384513855,0.08682955056428909,0.8336666822433472,0.5863271355628967
2,0.9740333557128906,0.08001682907342911,0.6328333616256714,0.8886620402336121
3,0.9761499762535095,0.07568029314279556,0.7683333158493042,0.6761181354522705
4,0.9778666496276855,0.0706496611237526,0.640333354473114,0.7864664793014526
5,0.9775500297546387,0.07173299044370651,0.593500018119812,1.160820722579956
6,0.9763333201408386,0.07480514794588089,0.6154999732971191,0.8303050398826599
7,0.9776833057403564,0.07079261541366577,0.8165000081062317,0.5251743793487549
8,0.9769999980926514,0.074909508228302,0.7413333058357239,0.8692800402641296
9,0.9779000282287598,0.06834631413221359,0.7871666550636292,0.7188543081283569
10,0.9782833456993103,0.06759917736053467,0.765333354473114,0.6761093139648438
11,0.9793833494186401,0.06495968252420425,0.7671666741371155,0.5582515001296997
12,0.9781833291053772,0.06606251746416092,0.8268333077430725,0.44046664237976074
13,0.9785500168800354,0.06707669049501419,0.7801666855812073,0.5324469208717346
14,0.979283332824707,0.06243112310767174,0.949999988079071,0.3454342186450958
15,0.9796333312988281,0.06302925944328308,0.5886666774749756,0.9152284860610962
16,0.9793833494186401,0.0643424242734909,0.9488333463668823,0.3727441132068634
17,0.979116678237915,0.06545353680849075,0.7954999804496765,0.5748674273490906
18,0.9792500138282776,0.0638267993927002,0.7860000133514404,0.46059125661849976
19,0.9791333079338074,0.0620851069688797,0.3318333327770233,2.638383388519287
20,0.9780333042144775,0.06772659718990326,0.7825000286102295,0.7169855833053589
21,0.9797000288963318,0.06611666083335876,0.7825000286102295,0.5810073614120483
22,0.9801499843597412,0.05924595519900322,0.9268333315849304,0.518578827381134
23,0.9795166850090027,0.06219834089279175,0.7621666789054871,0.6313181519508362
24,0.9793499708175659,0.06224624440073967,0.6158333420753479,1.128780722618103
25,0.9798499941825867,0.06015441566705704,0.7720000147819519,0.7454103231430054
26,0.9793166518211365,0.06080397218465805,0.5019999742507935,1.3927823305130005
27,0.9807666540145874,0.057446129620075226,0.6668333411216736,0.769498348236084
28,0.9815333485603333,0.0552707239985466,0.4741666615009308,2.0531342029571533
29,0.982616662979126,0.05310650169849396,0.3318333327770233,4.0004143714904785
